bg-591
БгБен	БгБен	PRO	PRO-BG-BEN
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европарламента	европарламент	ORG	ORG-European-Parliament
Канада	Канада	LOC	GPE-Canada
Коледа	Коледа	EVT	EVT-Christmas
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Политико	Политико	ORG	ORG-Politico
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Флоренция	Флоренция	LOC	GPE-Florence
Южна Корея	Южна Корея	LOC	GPE-South-Korea
Япония	Япония	LOC	GPE-Japan
британците	британци	PER	GPE-Great-Britain
