bg-671
bnr.bg	bnr.bg	PRO	PRO-bnr.bg
Бирмингам	Бирмингам	LOC	GPE-Birmingham
Брекзит	Брекзит	EVT	EVT-Brexit
Бристол	Бристол	LOC	GPE-Bristol
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Глазгоу	Глазгоу	LOC	GPE-Glasgow
Днес+	Днес+	ORG	ORG-DnesPlus
ЕС	ЕС	ORG	ORG-European-Union
Кардиф	Кардиф	LOC	GPE-Cardiff
Ливърпул	Ливърпул	LOC	GPE-Liverpool
Лийдс	Лийдс	LOC	GPE-Leeds
Манчестър	Манчестър	LOC	GPE-Manchester
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Нотингам	Нотингам	LOC	GPE-Nottingham
Нюкасъл	Нюкасъл	LOC	GPE-Newcastle
Шефийлд	Шефийлд	LOC	GPE-Sheffield
