pl-1360
Brexitu	Brexit	EVT	EVT-Brexit
Brytyjczykom	Brytyjczycy	PER	GPE-Great-Britain
Brytyjczyków	Brytyjczycy	PER	GPE-Great-Britain
Brytyjski parlament	Brytyjski Parlament	ORG	ORG-British-Parlament
David Cameron	David Cameron	PER	PER-David-Cameron
Elżbiety II	Elżbieta II	PER	PER-Queen-Elizabeth-II
Izbie Gmin	Izba Gmin	ORG	ORG-House-of-Commons
Izbie Lordów	Izba Lordów	ORG	ORG-House-of-Lords
May	May	PER	PER-Theresa-May
Partii Konserwatywnej	Partia Konserwatywna	ORG	ORG-Conservative-and-Unionist-Party-UK
Theresa May	Theresa May	PER	PER-Theresa-May
UE	UE	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
parlament Wielkiej Brytanii	Parlament Wielkiej Brytanii	ORG	ORG-Parliament-of-the-United-Kingdom
