ua-1035
Brexit	Brexit	EVT	EVT-Brexit
Sky News	Sky News	ORG	ORG-Sky-News
ЄС	ЄС	LOC	ORG-European-Union
Єврокомісія	Єврокомісія	ORG	ORG-European-Commission
Європарламент	Європарламент	ORG	ORG-European-Parliament
Європейського Союзу	Європейський Союз	ORG	ORG-European-Union
Євросоюзу	Євросоюз	LOC	ORG-European-Union
Барньє	Барньє	PER	PER-Michel-Barnier
Британії	Британія	LOC	GPE-Great-Britain
Брюсселем	Брюссель	LOC	GPE-Brussles
Велика Британія	Велика Британія	LOC	GPE-Great-Britain
Великою Британією	Велика Британія	LOC	GPE-Great-Britain
Великої Британії	Велика Британія	LOC	GPE-Great-Britain
Вестмінстер	Вестмінстер	LOC	GPE-Westminster
КИЇВ	Київ	LOC	GPE-Kiev
Лондоном	Лондон	LOC	GPE-London
Мішель Барньє	Мішель Барньє	PER	PER-Michel-Barnier
Мішеля Барньє	Мішель Барньє	PER	PER-Michel-Barnier
УНН	УНН	ORG	ORG-UNN
