bg-1096
Брекзит	брекзит	EVT	63-2
Ирландия	ирландия	LOC	102-6
Северна Ирландия	северен ирландия	LOC	101-25
Европейския съюз	европейски съюз	ORG	82-2
Република Ирландия	република ирландия	LOC	87-4
Обединеното кралство	обединя-(се) кралство	LOC	64-0
северноирландците	северноирландец	PER	101-4
Университета на кралицата	университет на кралица	ORG	83-28
Куинс юнивърсити	куинс юнивърсит	ORG	96-83
Белфаст	белфаст	LOC	63-40
северноирландци	северноирландец	PER	101-4
ЕС	ес	ORG	82-0
Колин Харви	колин харви	PER	96-72
Лондон	лондон	LOC	110-0
Шотландия	шотландия	LOC	108-1
Споразумението от Разпети петък	споразумение от разпета петък	PRO	101-82
Шин Фейн	шин фейн	ORG	108-4
Брюксел	брюксел	LOC	63-3
европейския митнически съюз	европейски митнически съюз	ORG	82-4
Джереми Корбин	джереми корбин	PER	103-33
Лейбъристка партия	лейбъристки партия	ORG	110-12
Тереза Мей	тереза мей	PER	55-17
Таймс	таймс	PRO	55-2
Джейкъб Рийс-Мог	джейкъб рийс-мог	PER	103-16
Консервативна партия	консервативен партия	ORG	96-6
Мей	мей	PER	89-2
Ирландии	ирландия	LOC	102-43
Британците	британец	PER	63-41
Лондондери	лондондери	LOC	110-114
Елиша Макалиън	елиша макалиън	PER	82-152
АФП	афп	ORG	65-7
БТА	бта	ORG	63-5
