bg-1158
The Guardian	the guardian	PRO	76-3
Найджъл Фараж	найджъл фараж	PER	97-6
британци	британец	PER	63-39
Лондон	лондон	LOC	110-0
Партията на независимостта	партия на независимост	ORG	67-5
Великобритания	великобритания	LOC	68-0
ЕС	ес	ORG	82-0
Брекзит	брекзит	EVT	63-0
Мишел Барние	мишел барние	PER	89-1
Барние	барние	PER	63-4
Европейската комисия	европейски комисия	ORG	82-12
Фараж	фараж	PER	62-10
британските	британски	PER	xxx
Виктор Турмаков	виктор турмаков	PER	68-4
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
