bg-938
The Daily Express	the daily express	PRO	76-2
ЕС	ес	ORG	82-0
Лондон	лондон	LOC	110-0
Европейския съюз	европейски съюз	ORG	82-2
Брекзит	брекзит	EVT	63-2
Рибари за излизане	рибари за излизане	ORG	87-3
Великобритания	великобритания	LOC	68-0
Нюкасъл	нюкасъл	LOC	97-5
Хейстингс	хейстингс	LOC	52-34
Плимут	плимут	LOC	67-19
Кент	кент	LOC	96-90
Найджъл Фараж	найджъл фараж	PER	97-6
Алън Хейстингс	алън хейстингс	PER	65-56
Обединеното кралство на независимостта	обединя-(се) кралство на независимост	LOC	64-0
Обединеното кралство	обединя-(се) кралство	LOC	64-0
ЮКИП	юкип	ORG	71-6
Тереза Мей	тереза мей	PER	55-17
Брекзит“	брекзит	EVT	63-2
Иван Христов	иван христов	PER	102-8
"Информационна агенция "" Фокус """	"информационен агенция "" фокус """	ORG	102-3
