cs-261
brexitu	brexit	EVT	86-43
Londýn	Londýn	LOC	100-3
Transpacifické partnerství	transpacifický partnerství	ORG	76-35
USA	USA	LOC	54-2
TPP	TPP	ORG	76-36
Financial Times	Financial Times	PRO	106-1
FT	FT	PRO	106-22
Británie	Británie	LOC	86-15
Tichého oceánu	Tichý oceán	LOC	76-139
Jihočínského moře	jihočínský moře	LOC	51-89
Japonsko	Japonsko	LOC	51-18
Kanada	Kanada	LOC	72-14
Mexiko	Mexiko	LOC	58-77
Peru	Peru	LOC	59-26
Chile	Chile	LOC	107-28
Vietnam	Vietnam	LOC	98-60
Malajsie	Malajsie	LOC	58-75
Brunej	Brunej	LOC	86-204
Singapur	Singapur	LOC	69-54
Austrálie	Austrálie	LOC	66-25
Nový Zéland	nový Zéland	LOC	88-20
Greg Hands	Greg Hands	PER	77-7
EU	EU	ORG	53-83
Londýna	Londýn	LOC	100-3
Nového Zélandu	nový Zéland	LOC	88-20
Spojené státy	spojený stát	LOC	69-8
německý	německý	LOC	xxx
Japonska	Japonsko	LOC	51-13
Spojených státu	spojený stát	LOC	69-8
