ru-1028
Brexit	Brexit	EVT	86-22
Доминик Рааб	Доминик Рааб	PER	103-27
Майкла Гоува	Майкла Гоув	PER	89-37
Кабмина	Кабмин	ORG	96-38
Дэвида Лидингтона	Дэвид Лидингтон	PER	103-4
МИД	МИД	ORG	89-34
Бориса Джонсона	Борис Джонсон	PER	63-7
Дэвис	Дэвис	PER	103-63
Терезы Мэй	Тереза Мэй	PER	55-24
Англии	Англия	LOC	65-5
РИА Новости	РИА Новость	ORG	87-14
Дэвид Дэвис.	Дэвид Дэвис.	PER	103-3
Дэвиса	Дэвис	PER	103-64
ЕС	ЕС	ORG	82-217
Мэй	Мэй	PER	89-33
Доминика Рааба	Доминика Рааба	PER	103-28
британский Кабмин	британский Кабмин	ORG	63-86
Брюсселем	Брюссель	LOC	63-80
Рааба	Рааба	PER	87-17
Англия	Англия	LOC	65-4
Консервативной партии	консервативный партия	ORG	96-35
