ua-102
Brexit	Brexit	EVT	86-151
РФ	РФ	LOC	87-53
Бенкса	Бенкс	PER	63-146
Лондоні	Лондон	LOC	110-23
Алєксандром Яковенком	Алєксандр Яковенком	PER	65-74
Бенксу	Бенкс	PER	63-191
Бенкс	Бенкс	PER	63-105
Дональда Трампа	Дональд Трамп	PER	103-14
США	США	LOC	101-12
Українська правда	український правда	PRO	83-24
« Українську правду »	« український правда »	PRO	109-6
« Iнтерфакс - Україна »	« iнтерфакс - Україна »	ORG	109-10
« Українські Новини »	« український новина »	ORG	109-3
Георгій Гонгадзе	Георгій Гонгадзе	PER	78-34
