pl-908
Nord Stream 2	Nord Stream 2	PRO	151-9
Ukraina	Ukraina	LOC	119-21
Davos 2018	Davos 2018	EVT	143-80
Davos	Davos	LOC	143-44
Światowe Forum Ekonomiczne	światowy forum ekonomiczny	EVT	xxx
Rosji	Rosja	LOC	158-19
Aleksander Nowak	Aleksander Nowak	PER	131-8
Komisji Europejskiej	komisja europejski	ORG	137-19
Unii Energetycznej	unia energetyczny	ORG	119-32
Maroszem Szefczoviczem	Marosze Szefczovicz	PER	123-20
Niemiec	Niemcy	LOC	151-49
Komisję	komisja	ORG	137-16
Ukrainę	Ukraina	LOC	119-23
Rosją	Rosja	LOC	158-44
Unią Europejską	unia europejski	ORG	119-34
Marosza Szefczovicza	Marosza Szefczovicz	PER	123-20
Nowak	Nowak	PER	151-46
RIA	RIA	ORG	158-109
Szefczovicz	Szefczovicz	PER	134-40
Ukrainy	Ukraina	LOC	119-19
Petrem Poroszenką	Petr Poroszenko	PER	124-43
USA	USA	LOC	119-13
Rickiem Perrym	Rick Perrym	PER	158-28
Gazprom	Gazprom	ORG	140-4
Naftogaz	Naftogaz	ORG	151-38
Ukraińcy	Ukrainiec	PER	119-44
RIA Novosti	RIA Novosti	ORG	158-6
Wojciech Jakóbik	Wojciech Jakóbik	PER	174-10
