sl-154
Afera Tetra	afera Tetra	EVT	184-37
Ornig	Ornig	PER	195-4
Dejan Ornig	Dejan Ornig	PER	191-11
Gregor Gregorič	Gregor Gregorič	PER	190-1
Ornigom	Ornig	PER	195-21
Dejana Orniga	Dejan Ornig	PER	191-11
Tetra	Tetra	PRO	189-12
policist	policist	PER	182-9
Majo Šuštar	Maja Šuštar	PER	181-82
Gregorja Gregoriča	Gregor Gregorič	PER	190-1
policistov	policist	PER	182-9
policisti	policist	PER	182-10
Orniga	Ornig	PER	195-19
policistom	policist	PER	182-9
Mihom Rističem	Miha Ristič	PER	181-102
Robertu Bajuku	Robert Bajuk	PER	198-47
policijo	policija	ORG	xxx
policije	policija	ORG	xxx
specializirano državno tožilstvo	specializiran državen tožilstvo	ORG	185-2
Klemnom Radetičem	Klemen Radetič	PER	187-38
Picasso	Picasso	PER	182-50
Radetičem	Radetič	PER	198-42
Mitjo Mišigojem	Mitja Mišigoj	PER	181-70
Gregorič	Gregorič	PER	190-1
Tetre	tetra	PRO	189-38
Janez Stušek	Janez Stušek	PER	176-16
Jerica Jančar	Jerica Jančar	PER	176-12
Stušek	Stušek	PER	185-92
Ornigu	Ornig	PER	195-4
zakonu o elektronskih komunikacijah	zakon o elektronski komunikacija	PRO	192-55
