pl-349
Ryanair	Ryanair	ORG	244-14
Polską	Polska	LOC	210-14
Money.pl	Money.pl	PRO	209-70
Hiszpanii	Hiszpania	LOC	243-3
Belgii	Belgia	LOC	236-26
Portugalii	Portugalia	LOC	210-16
Polski	Polska	LOC	210-14
FR9172	FR9172	PRO	254-13
Barcelona	Barcelona	LOC	236-0
Wrocław	Wrocław	LOC	259-7
FR9173	FR9173	PRO	254-14
FR1057	FR1057	PRO	254-15
Bruksela	Bruksela	LOC	236-20
Warszawa - Modlin	Warszawa - Modlin	LOC	259-14
FR1058	FR1058	PRO	254-16
FR 1002	FR 1002	PRO	254-17
Hiszpania - Alicante	Hiszpania - Alicante	LOC	243-6
FR 1001	FR 1001	PRO	254-18
FR1426	FR1426	PRO	254-19
Alicante	Alicante	LOC	218-15
Gdańsk	Gdańsk	LOC	226-4
FR1425	FR1425	PRO	254-20
FR2228	FR2228	PRO	254-21
Walencja	Walencja	LOC	259-13
Kraków	Kraków	LOC	223-10
FR2229	FR2229	PRO	254-22
FR6728	FR6728	PRO	254-24
FR6729	FR6729	PRO	254-23
