Base,Count
Brexit,41
Wielka Brytania,29
UE,14
Londyn,13
Unia Europejska,13
Wyspy,7
Unia,6
Bruksela,5
Polacy,5
Brytyjczycy,5
Niemcy,4
Irlandia,4
Europa,4
WTO,3
Wspólnota,3
Theresa May,3
Luksemburg,3
Zjednoczone Królestwo,3
Farage,3
Komisja Europejska,3
Polska,3
Światowa Organizacja Handlu,3
Michel Barnier,2
Frankfurt nad Menem,2
Warszawa,2
TVN,2
Guardian,2
Unilever,2
Trybunał Sprawiedliwości UE,2
Donald Tusk,2
Odra,2
Francja,2
Partia Pracy,2
Rada Europejska,2
Times,2
W. Brytania,2
Lawson,2
Sunday Times,2
Rada UE,2
Amsterdam,2
Bloomberg,2
David Davis,2
Irlandia Płn.,2
Anglia,2
Drezno,2
Budziszyn,1
BuzzFeed,1
Siergiej Skripal,1
Brytyjska Partia Konserwatywna,1
Barnier,1
Litwini,1
Scripps Networks,1
Tusk,1
Lexusy,1
Q-Park,1
Isabelle Maitre,1
Katowice,1
Discovery Communications,1
HSBC,1
Dover,1
Bronx,1
Wittchenau,1
NHS,1
Paryż,1
Alantra Partners,1
Mercedesy,1
Katarzyna Kiela,1
Jessica Gladstone,1
Koncepcja Państw Ramowych,1
Bank of America,1
Stany Zjednoczone,1
Brukselą,1
Dubaj,1
Stałe Przedstawicielstwo przy UE Krajowej Federacji Przewoźników,1
Paul Butters,1
Deutsche Bank,1
Airbus,1
Farm Europe,1
Kumar Iyer,1
Polska Izba Spedycji i Logistyki,1
Izba Lordów,1
YouGov,1
Saksoński Urząd Pracy,1
Maja-Moebel,1
Birkenstock,1
Paul Everitt,1
rue de Strasbourg,1
Oliver Wyman,1
Clifford Chance,1
Partia Konserwatywna,1
PE,1
ZMPD,1
ADS,1
Wollaston,1
Henry Bolton,1
Scripps Networks Interactive,1
Banco Mare Nostrum,1
Twitter,1
Europejski Trybunał Sprawiedliwości,1
Joao Pacheco,1
Marek Tarczyński,1
Michael Bloomberg,1
Reuters,1
Partia Niepodległości Wielkiej Brytanii,1
Nigel Lawson,1
Best for Britain,1
Polka,1
Afryka,1
Bułgaria,1
ULT AG,1
DW,1
Discovery,1
Kornwalia,1
Rzeczpospolita,1
The Sunday Times,1
Graeme Pitkethly,1
Rosja,1
Chuka Ummuna,1
Bankia,1
Marineła Petrowa,1
KKR Co.,1
The Independent,1
Gers,1
Soho,1
Deutsche Welle,1
ING Luxembourg,1
Salisbury,1
Kodersdorf,1
Emirates,1
Hiszpanie,1
Brytyjczyk,1
Rotterdam,1
Tony Blair,1
Ukraina,1
Sarah Wollaston,1
Grenville Richards,1
EUobserver,1
Connexion,1
Goldman Sachs,1
Borbet,1
Loebau,1
Zgorzelec,1
NFZ,1
Holandia,1
Rumuni,1
Marion Seifert,1
Davis,1
The Times,1
Rolls-Royce,1
Zrzeszenie Międzynarodowych Przewoźników Drogowych,1
Teesport,1
Związek Niemieckiego Przemysłu,1
Scripps,1
Jan Buczek,1
BBC,1
BMW,1
Morgan Stanley,1
Parlament Europejski,1
Ministerstwo ds. Brexitu,1
Ministerstwo Obrony,1
Instytut Goethego,1
Gerard Batten,1
BDI,1
Lang,1
Bliski Wschód,1
Goerlitz,1
Joachim Lang,1
Wielkie Księstwo,1
UKIP,1
Bułgarzy,1
BBC Radio 4,1
Nowy Jork,1
Saksonia,1
Europa Wschodnia,1
Szkocja,1
Buczek,1
