clID,Count
GPE-Great-Britain,47
EVT-Brexit,41
ORG-European-Union,36
GPE-London,13
GPE-Poland,9
GPE-Brussles,6
ORG-WTO-World-Trade-Organization,6
PRO-The-Sunday-Times,5
GPE-Luxembourg,4
ORG-European-Council,4
GPE-Ireland,4
LOC-Europe,4
GPE-Germany,4
PER-Nigel-Farage,3
ORG-European-Court-of-Justice,3
PER-Donald-Tusk,3
PER-Theresa-May,3
ORG-European-Commission,3
PER-Michel-Barnier,3
PER-Nigel-Lawson,3
PER-David-Davis,3
ORG-SNI-Scripps-Networks-Interactive,3
PRO-TVN,2
ORG-UK-Independence-Party,2
GPE-Dresden,2
PER-Sarah-Wollaston,2
ORG-European-Parlament,2
ORG-Bloomberg-LP,2
ORG-BDI-Bundesverband-der-Deutschen-Industrie,2
GPE-France,2
GPE-England,2
GPE-Warsaw,2
GPE-Bulgaria,2
ORG-Labour-Party-UK,2
LOC-Oder,2
ORG-Unilever,2
GPE-Northern-Ireland,2
GPE-Amsterdam,2
ORG-ZMPD-Zrzeszenie-Międzynarodowych-Przewoźn,2
GPE-Goerlitz,2
GPE-Frankfurt-am-Main,2
ORG-Discovery-Inc,2
PRO-The-Guardian,2
PER-Joachim-Lang,2
PER-Jan-Buczek,2
ORG-Conservative-and-Unionist-Party-UK,2
LOC-NY-Bronx,1
PER-Michael-Bloomberg,1
ORG-ING-Luxembourg,1
PRO-Twitter,1
LOC-Rue-de-Strasbourg,1
LOC-Near-East,1
ORG-Labour-Office-Saxony,1
ORG-Borbet,1
PER-Chuka-Ummuna,1
ORG-Airbus-SE,1
PER-Marion-Seifert,1
PER-Paul-Everitt,1
ORG-ULT-AG,1
PRO-Rzeczpospolita,1
GPE-USA,1
ORG-Goldman-Sachs,1
ORG-Bankia,1
PRO-The-Independent,1
GPE-Lithuania,1
PRO-EUobserver,1
PRO-Die-Welt,1
GPE-Katowice,1
PER-Siergiej-Skripal,1
ORG-HSBC,1
ORG-Best-for-Britain,1
ORG-Q-Park,1
GPE-Kodersdorf,1
ORG-Morgan-Stanley,1
GPE-Bautzen,1
ORG-Oliver-Wyman-ltd,1
GPE-Saxony,1
PER-Katarzyna-Kiela,1
ORG-Reuters,1
PRO-The-Times,1
ORG-BuzzFeed-Inc,1
GPE-Russia,1
PRO-Framework-Nations-Concept,1
ORG-Rolls-Royce-ltd,1
ORG-NFZ,1
ORG-Stałe-Przedstawicielstwo-przy-UE-Krajowej,1
LOC-Teesport,1
GPE-Rotterdam,1
LOC-Africa,1
GPE-Paris,1
PER-Paul-Butters,1
ORG-KKR-Co-Inc,1
PRO-Connexion,1
PER-Jessica-Gladstone,1
ORG-PISiL-Polska-Izba-Spedycji-i-Logistyki,1
PER-Marineła-Petrowa,1
PRO-Deutsche-Welle,1
GPE-Dover,1
GPE-Spain,1
LOC-Soho-Residential-Park,1
PRO-YouGov,1
GPE-Scotland,1
PER-Joao-Pacheco,1
PER-Graeme-Pitkethly,1
PER-Tony-Blair,1
PRO-BMW,1
ORG-Birkenstock,1
ORG-Ministry-of-Brexity,1
PER-Grenville-Richards,1
ORG-Alantra-Partners-SA,1
ORG-NHS,1
PRO-BBC-Radio-4,1
GPE-Romania,1
ORG-Emirates,1
GPE-Löbau,1
GPE-Ukraine,1
ORG-ADS-Group-Limited,1
ORG-Clifford-Chance-LLP,1
PRO-Mercedes,1
GPE-Salisbury,1
LOC-Eastern-Europe,1
GPE-Cornwall,1
GPE-Gers,1
PER-Kumar-Iyer,1
ORG-Farm-Europe,1
ORG-Bank-of-America,1
ORG-Banco-Mare-Nostrum-SA,1
ORG-BBC-Ltd,1
PER-Isabelle-Maitre,1
ORG-Deutsche-Bank,1
GPE-Dubai,1
GPE-Wittichenau,1
PRO-Lexus,1
ORG-Maja-Moebel,1
GPE-Holland,1
PER-Gerard-Batten,1
PER-Henry-Bolton,1
ORG-Goethe-Institut,1
ORG-Ministry-of-National-Defence-Republic-of-,1
ORG-House-of-Lords,1
GPE-New-York,1
PER-Marek-Tarczyński,1
