clID,Count
1,1127
2,250
3,111
4,34
5,18
6,263
7,10
8,2
9,47
10,5
11,46
12,16
13,9
14,112
15,9
16,62
17,50
18,4
19,6
20,44
21,3
22,3
23,4
24,5
25,8
26,6
27,3
28,62
29,15
30,5
31,3
32,2
33,3
34,7
35,17
36,3
37,3
38,2
39,3
40,2
41,42
42,110
43,13
44,3
45,2
46,13
47,20
48,27
49,4
50,4
51,3
52,6
53,4
54,5
55,28
56,13
57,2
58,17
59,3
60,2
61,2
62,8
63,38
64,7
65,9
66,2
67,7
68,45
69,3
70,8
71,5
72,5
73,13
74,6
75,6
76,2
77,2
78,45
79,2
80,9
81,8
82,2
83,2
84,2
85,2
86,8
87,7
88,3
89,14
90,54
91,9
92,2
93,11
94,6
95,4
96,15
97,16
98,5
99,13
100,3
101,17
102,6
103,4
104,5
105,1
106,8
107,6
108,5
109,4
110,3
111,37
112,18
113,2
114,6
115,2
116,19
117,22
118,44
119,8
120,7
121,8
122,2
123,4
124,2
125,36
126,16
127,2
128,2
129,2
130,1
131,14
132,8
133,6
134,4
135,13
136,2
137,2
138,2
139,2
140,2
141,5
142,2
143,4
144,9
145,7
146,17
147,5
148,4
149,15
150,62
151,2
152,6
153,3
154,2
155,3
156,2
157,2
158,5
159,4
160,2
161,2
162,6
163,22
164,4
165,6
166,1
167,5
168,1
169,2
170,3
171,4
172,3
173,4
174,2
175,2
176,9
177,7
178,8
179,4
180,2
181,5
182,7
183,20
184,2
185,7
186,3
187,3
188,12
189,2
190,29
191,5
192,4
193,2
194,4
195,6
196,4
197,4
198,7
199,5
200,4
201,3
202,4
203,4
204,6
205,12
206,6
207,4
208,3
209,3
210,2
211,4
212,2
213,3
214,5
215,2
216,2
217,4
218,5
219,2
220,4
221,6
222,12
223,3
224,2
225,2
226,6
227,2
228,2
229,5
230,5
231,9
232,3
233,1
234,2
235,6
236,2
237,2
238,2
239,36
240,7
241,30
242,3
243,2
244,2
245,7
246,2
247,3
248,4
249,7
250,6
251,7
252,3
253,5
254,2
255,2
256,3
257,2
258,2
259,7
260,2
261,3
262,2
263,3
264,3
265,2
266,2
267,3
268,2
269,2
270,2
271,3
272,3
273,2
274,2
275,8
276,8
277,2
278,2
279,3
280,3
281,2
282,9
283,9
284,3
285,3
286,2
287,3
288,2
289,2
290,2
291,4
292,2
293,16
294,10
295,27
296,3
297,4
298,5
299,10
300,5
301,2
302,2
303,2
304,2
305,2
306,3
307,2
308,2
309,3
310,2
311,2
312,2
313,2
314,2
315,4
316,2
317,5
318,2
319,3
320,1
321,1
322,1
323,1
324,4
325,1
326,2
327,1
328,1
329,1
330,1
331,2
332,1
333,2
334,2
335,1
336,1
337,1
338,2
339,1
340,1
341,2
342,1
343,1
344,1
345,1
346,1
347,2
348,1
349,1
350,2
351,1
352,1
353,2
354,1
355,1
356,1
357,1
358,2
359,1
360,2
361,2
362,2
363,2
364,3
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,2
382,1
383,1
384,1
385,3
386,2
387,4
388,1
389,3
390,1
391,2
392,1
393,1
394,2
395,3
396,4
397,4
398,3
399,1
2000,6
10001,8
10002,8
10003,1
10004,3
10005,2
10009,4
10010,1
10011,9
10014,17
10015,6
10016,2
10017,1
10019,2
10021,10
10024,14
10025,1
10026,4
10027,12
10028,2
10029,1
10030,1
10031,2
10032,19
10033,2
10034,6
10035,1
10036,1
10037,2
10038,26
10039,1
10040,5
10041,5
10042,2
10043,4
10044,1
10046,2
10047,1
10048,2
10049,5
10050,1
10051,6
10052,5
10053,1
10054,1
10055,7
10056,6
10057,2
10058,5
10059,6
10061,2
10062,5
10063,5
10064,1
10065,5
10066,3
10067,2
10068,1
10069,2
10070,5
10071,2
10072,2
10073,4
10074,6
10075,4
10076,1
10077,1
10078,2
10079,3
10080,7
10082,4
10083,1
10085,3
10086,3
10087,1
10088,1
10089,2
10090,3
10091,6
10092,2
10093,7
10094,1
10095,2
10096,1
10097,2
10098,5
10099,5
10100,2
10102,3
10103,2
10104,1
10105,1
10106,1
10107,1
10108,1
10109,1
10112,1
10113,7
10116,1
10118,2
10120,10
10121,1
10123,1
10124,1
10125,1
10127,2
10128,1
10130,1
10131,1
10133,2
10134,1
10135,20
10139,1
10140,5
10142,2
10143,3
10145,1
10146,1
10147,2
10151,1
10152,1
10153,3
10154,1
10155,2
10157,1
10159,1
10160,1
10161,3
10162,3
10163,2
10164,1
10165,2
10166,2
10167,1
10168,9
10169,4
10171,1
10173,1
10174,1
10175,3
10176,1
10180,1
20002,30
20004,2
20005,2
20006,7
20008,9
20009,1
20010,2
20011,2
20013,2
20014,3
20015,3
20017,1
20018,2
20019,9
20020,2
20021,2
20022,1
20023,4
20024,2
20025,2
20026,3
20027,1
20029,1
20030,3
20031,1
20032,1
20033,2
20034,1
20035,2
20036,2
20037,2
20038,4
20039,2
20040,2
20041,1
20043,5
20044,1
20045,1
20046,1
20048,1
20049,1
20050,5
20051,1
20054,2
20055,2
20057,2
20059,1
20060,1
20061,1
20062,1
20064,1
20065,1
20066,1
20067,1
20068,1
20069,1
20070,1
20071,1
20072,1
20073,1
20074,1
20075,1
20076,1
20080,1
20081,1
20082,1
20100,2
20101,2
20102,3
20103,1
20104,5
20107,2
20108,1
20109,1
20110,1
20111,3
20112,1
20120,1
20121,2
20122,2
20123,1
20130,1
20131,1
20132,1
20150,1
20151,5
20152,1
20153,1
20154,5
20157,1
20158,1
20159,1
20160,1
20161,1
20163,1
20201,1
20202,2
20203,1
20204,11
20205,2
20206,5
20207,1
20208,1
20210,1
20212,1
20213,1
20214,1
20215,4
20220,3
20221,3
20222,1
20230,1
20231,1
20233,1
20250,1
20251,1
20252,1
20256,1
20257,3
20259,1
20260,2
20261,1
20300,2
20301,3
20302,3
20303,5
20304,1
20305,1
20306,1
20307,1
20308,1
20309,1
20310,1
20311,1
20312,1
20313,1
20314,1
20315,1
20400,3
20401,1
20402,2
20403,1
20404,1
20406,2
20407,2
20408,1
20421,1
20422,1
20423,2
20450,1
20451,1
20500,3
20501,2
20502,4
20503,2
20504,1
20506,1
20507,2
20508,1
20511,2
20513,4
20514,4
20516,1
20518,1
20519,1
20520,1
20521,1
20522,1
20523,1
20524,2
20526,1
20528,1
20529,4
20530,2
20531,2
20532,1
20533,1
20535,1
20550,1
20551,1
20552,2
20553,4
20554,3
20555,2
20556,1
20557,1
20572,2
20590,1
20592,1
20593,1
20595,2
20596,2
20597,3
20599,1
20600,4
20601,2
20602,2
20603,3
20606,1
20607,2
20608,9
20609,1
20611,1
20612,3
20623,1
20625,5
20641,4
20642,2
20643,2
20644,2
20646,1
20650,1
20651,1
20656,1
20657,1
20658,1
20659,1
20700,1
20701,2
20702,1
20703,1
20704,2
20705,2
20706,1
20707,1
20708,1
20709,1
20710,2
20711,2
20712,2
20713,1
20714,1
20715,1
20720,1
20721,1
20722,1
20723,1
20724,2
20729,1
20730,2
20731,1
20732,1
20735,1
20741,2
20771,1
20772,1
20773,1
20800,1
20801,4
20802,3
20803,3
20804,1
20805,1
20806,1
20808,1
20809,1
20810,2
20811,1
20812,1
20813,1
20814,1
20815,1
20816,1
20817,1
20818,1
20819,1
20820,1
20822,1
20823,1
20824,1
20825,1
20826,1
20827,1
20828,1
20829,1
20830,1
20831,1
20832,1
20833,4
20834,1
20835,1
20836,2
20837,1
20838,1
20839,1
20840,1
20841,1
20842,1
20843,1
20844,1
20845,1
20900,1
20903,5
20904,1
20906,1
21000,3
21001,2
21002,3
21003,4
21004,2
21005,2
21006,1
21010,1
21011,1
21012,1
21013,1
21014,1
21015,1
21016,1
21017,1
21018,1
21019,1
21020,1
21030,1
21032,1
21033,1
21034,4
21100,5
21101,3
21102,2
21103,4
21104,1
21105,1
21106,1
21107,1
21200,1
21202,2
21203,1
21204,1
21205,1
21206,2
21207,2
21300,3
21301,4
21302,4
21303,1
21305,2
21306,1
21307,1
21400,5
21401,6
21402,1
21404,2
21500,1
21501,1
21502,1
21504,1
21505,1
22000,2
22001,3
22002,7
22003,1
22004,1
30004,3
30005,2
30006,3
30007,1
30008,3
30009,1
30011,1
30012,2
30013,1
30014,2
30015,3
30016,4
30017,3
30018,1
30019,1
30021,2
30022,1
30023,2
30025,2
30026,2
30027,3
30028,4
30029,3
30030,3
30031,3
30032,2
30033,1
30034,2
30035,4
30036,1
30037,2
30038,3
30040,1
30041,4
30042,1
30043,1
30044,1
30046,3
30047,1
30048,1
30050,3
30051,3
30052,1
30054,2
30055,2
30056,3
30057,14
30058,6
30059,7
30060,2
30061,1
30062,1
30063,1
30065,1
30066,1
30067,2
30068,1
30069,2
