Base,Count
brexit,227
Británie,172
EU,113
Evropská unie,106
Bibiová,78
Londýn,75
trump,61
Mayová,61
Britové,58
Asia Bibiová,56
Theresa Mayová,54
evropská komise,46
Spojené království,46
Brusel,45
Velká Británie,43
Pákistán,43
Irsko,34
Severní Irsko,32
Mohamed,32
donald trump,31
Sněmovna lordů,31
Brexit,29
Česko,27
Evropa,24
Islámábád,23
Evropská komise,22
Reuters,21
BBC,21
Tehríke Labajk,20
TLP,19
britský parlament,18
česká republika,17
Dolní sněmovna,17
Michel Barnier,17
Pákistánský nejvyšší soud,17
usa,16
ČTK,16
konzervativci,16
David Davis,15
Barnier,15
Boris Johnson,15
eu,15
AP,14
Donald Trump,14
evropa,14
AFP,12
Johnson,12
Španělsko,11
česko,11
spojené státy,11
Paňdžáb,11
labouristé,11
hillary clintonová,10
amerika,10
Mulúk,10
Rávalpindí,10
Saif Mulúk,10
evropská unie,9
Česká republika,9
Francie,9
Itálie,9
američané,9
německo,9
Čína,9
Andrej Babiš,8
rusko,8
brusel,8
Britský parlament,8
evropský parlament,8
Irská republika,7
Spojené státy,7
The Guardian,7
Airbus,7
Anglie,7
Německo,7
Kanada,7
Konzervativní strana,7
twitter,7
Rumunsko,7
čína,7
facebook,7
Norsko,7
Evropané,6
Indie,6
microsoft,6
Facebook,6
Evropská rada,6
Lordi,6
USA,6
donald,6
google,6
ČR,5
clintonová,5
Philip Hammond,5
Šafík Amíní,5
Trump,5
Nissan,5
čr,5
Banks,5
Evropský parlament,5
velká británie,5
ministerstvo pro brexit,5
HN,5
czexit,5
new york,5
Češi,5
Davis,5
Financial Times,4
Pákistánci,4
putin,4
Tusk,4
Merkelová,4
linkedin,4
Cambridge Analytica,4
Nejvyšší soud,4
Praha,4
Liam Fox,4
barack obama,4
ek,4
Rusko,4
reuters,4
EuroZprávy.cz,4
whatsapp,4
Japonci,4
věra jourová,4
konzervativní strana,4
UKIP,4
volkswagen,4
Skotsko,4
Chádim Husajn Rizví,4
Unie,4
Polsko,3
Strana nezávislosti Spojeného království,3
Tom Williams,3
lucembursko,3
ap,3
Skotové,3
Farage,3
Rakousko,3
The Sun,3
východní Evropa,3
Kadrí,3
EU27,3
Háfiz Saíd,3
Nizozemsko,3
řecko,3
republikánská strana,3
Mnichov,3
Serverní Irsko,3
Babiš,3
europarlament,3
pákistánský nejvyšší soud,3
Velké Británie,3
KDU-ČSL,3
Asia Noreenová,3
cadillac,3
Dánsko,3
Nigel Farage,3
wisconsin,3
Alžběta II.,3
o’brien,3
ivana zelníčková,3
LONDÝN,3
Japonsko,3
kanada,3
Dublin,3
Wales,3
Donald Tusk,3
Jiří Hošek,3
Amber Ruddová,3
hillary,3
Angličané,3
liberální demokraté,3
Bukurešť,3
amazon,3
DPA,3
washington post,3
Bravermanová,3
čt24,3
Suella Bravermanová,3
Pavel Svoboda,3
Tasír,3
čtk,3
BuzzFeed News,3
obama,3
ICM,2
washington,2
fio banka,2
Bank of England,2
hillary clinton,2
Bulharsko,2
bílý dům,2
Masíh,2
Albion,2
The Sunday Times,2
Křetínský,2
Schillerová,2
Švédsko,2
lupa.cz,2
český statistický úřad,2
Edinburgh,2
Chemnitz,2
erú,2
Austrálie,2
elžbieta bieńkowská,2
Ježíš Kristus,2
Martin Stropnický,2
SoftBank,2
Ashiq Masih,2
margrethe vestagerová,2
Zavar Husain Varaič,2
trump tower,2
Oxford,2
Alena Schillerová,2
trump organization,2
WTO,2
babiš,2
Brazílie,2
Světová obchodní organizace,2
Jean-Claude Juncker,2
wikipedia,2
Tony Blair,2
VCA,2
Bombaj,2
Jeremy Hunt,2
Paříž,2
Němci,2
Slovensko,2
EHP,2
italexit,2
Saif ul Malúk,2
Multán,2
The Telegraph,2
ebay,2
Daniel Křetínský,2
Švýcarsko,2
kovačovská,2
cia,2
Corbyn,2
Nomura,2
fairsearch,2
euractiv.cz,2
Britská obchodní komora v ČR,2
Labouristé,2
zeman,2
Berlín,2
Citibank Europe,2
Williams,2
spojené státy americké,2
Konzervativci,2
Ester Ameszová,2
EP,2
Evropský soudní dvůr,2
android,2
bill clinton,2
Ellesmere Port,2
Business Insider,2
Rusové,2
Tereza H.,2
Ijaz Ašrafí,2
Radiožurnál,2
People's Vote,2
The Independent,2
americký kongres,2
Okamura,2
google search,2
Toby Melville,2
bernie sanders,2
lisabonská smlouva,2
SPD,2
Conservative Way Forward,2
New York,2
Vote Leave,2
okamura,2
praha,2
apple,2
queens,2
rothschildové,2
europoslanci,2
Downing Street,2
Rizví,2
ivanka,2
kisiliov,2
Mumtáz Kadrí,2
Konzervativní cesta vpřed,2
Winston Churchill,2
republikáni,2
ministerstvo průmyslu a obchodu,2
Bloomberg,2
fed,2
skotský parlament,2
Jaguar Land Rover,2
Vauxhall,2
BBC News,2
Úřad pro rozpočtovou zodpovědnost,2
Wigmore,2
Political Betting,2
Asii Bibiová,2
Black Friday,2
Koji Tsuruoka,2
detroit,2
etias,2
slovensko,2
new york times,2
indiana,2
Zdeněk Turek,2
řecku,2
Indové,2
evropský hospodářský prostor,2
transatlantické obchodní a investiční partnerství,2
Vince Cable,2
Svoboda,2
Citi-bank Europe,2
fbi,2
Východoevropané,2
bezos,2
play store,2
Matteo Salvini,2
walker,2
energetický regulační úřad,2
Twitter,2
rockefelleři,2
forbes,2
Europoslanec,2
studená válka,2
mercedes,2
Alžběta II,2
Asie,2
La Manche,2
Čech,2
Ašik Masíh,2
Zaorálek,2
West Midlands,2
Mark Zuckerberg,2
Liverpool,2
Cooper,2
Sobíšek,2
Leave.EU,2
manhattan,2
Macron,2
litva,2
bill,2
maria maples,2
Amerika,2
Citigroup,2
James McGory,2
junker,2
Buzzfeed,2
Supreme Court,2
španělsko,2
asie,2
Plymouth,2
týden.cz,2
PRAHA,2
Estonsko,2
security magazín,2
česká televize,2
mpo,2
Ameszová,2
galileo,1
NYTimes,1
pavlína nečásková,1
welt am sonntag,1
paříž,1
drumpf,1
brian,1
Angela Merkelová,1
viber,1
Národní farmářská unie,1
brian may,1
Brit,1
Policy Exchange,1
Justine Greeningová,1
ukrajina,1
maybach,1
Adrees Latif,1
Pákistánka,1
Belgi,1
michel d’antonio,1
evropané,1
Uhuru Kenyatta,1
české ministerstvo dopravy,1
Zlí chlapci brexitu,1
william,1
Jiná Británie,1
bmi,1
betzdorf,1
UniCredit,1
LN,1
jan nehoda,1
rádio beat,1
radim fiala,1
Federální komise pro obchod,1
Terrie Simpsonová,1
UK,1
radek rozvoral,1
José María Álvarez-Pallete López,1
Italové,1
Sýrie,1
Národní centrála proti organizovanému zločinu,1
Chorvatsko,1
Seznam Zprávy,1
Evropy,1
Erna Solberg,1
Transpacifické partnerství,1
vladimír putin,1
ministerstvo pro vystoupení z EU,1
Eurokomisaři,1
roberts,1
sony,1
izrael,1
ksčm,1
Londýnané,1
pnr,1
DUBLIN,1
Telefónika,1
šefčovič,1
Le Figaro,1
TV Nova s.r.o,1
wirt yerger,1
Allah,1
rolling stones,1
silicon valley,1
Lahore,1
Alina,1
dell,1
lamborghini diablo vt roadster,1
štěpán chalupa,1
fielding,1
Asia,1
die welt,1
americká centrální banka,1
Aleksandr Kogan,1
Evropský fond pro regionální rozvoj,1
Ella,1
Radim Fiala,1
chevrolet camaro ss,1
KSČM,1
Pomoc pro pronásledované křesťany,1
EK,1
barron william,1
Damien Green,1
monika lewinská,1
Baker McKenzie,1
Washington,1
"výbor pro digitální technologie, kulturu, média a sport britského parlamentu",1
France 2,1
wharton,1
Damian Collins,1
dromb,1
eric,1
Pavel Sobotka,1
vw,1
forbes.com,1
donald jr.,1
agentura pro pomoc uprchlíkům,1
ministerstvo životního prostředí,1
radka burketová,1
Bombaji,1
John Kerr,1
natasha bertaudová,1
Joseph Brady,1
Hans Štembera,1
britské ministerstvo dopravy,1
ministerstvo vnitra české republiky,1
facebook messenger,1
Steve Baker,1
EURACTIV.cz,1
zuzana roithová,1
svob. rádio,1
rada eu,1
maps,1
withorn,1
john minchillo,1
štefan füle,1
e15.cz,1
juncker,1
olga letáčková,1
Tom Campbell,1
ano,1
auto.cz,1
The Bank of England,1
james comey,1
Špicar,1
veronika vároši,1
SCL Group,1
wal-mart,1
trumpovi,1
konečná,1
ondřej malý,1
edwards,1
