Base,Count
Brexit,240
Wielka Brytania,160
Unia Europejska,83
Londyn,73
UE,73
Asia Bibi,65
Unia,63
Polska,57
Pakistan,53
Bruksela,49
Europa,48
donald trump,42
komisja europejska,41
Brytyjczycy,40
trump,38
Mahomet,35
Irlandia,31
Wspólnota,31
Komisja Europejska,29
Theresa May,26
polska,26
Irlandia Północna,25
Niemcy,23
Wyspy,23
Polacy,23
Bibi,22
Sąd Najwyższy,22
Parlament Europejski,20
Zjednoczone Królestwo,20
komisja,20
Rada Europejska,20
David Davis,18
usa,17
ameryka,16
Francja,16
bruksela,15
ke,15
Guardian,14
ue,14
Izba Gmin,14
Donald Tusk,13
Warszawa,13
Tusk,12
Stany Zjednoczone,12
Holandia,12
PAP,12
KE,12
USA,11
Twitter,11
chiny,11
Partia Konserwatywna,11
hillary clinton,11
Times,11
Franciszek,11
parlament europejski,11
Barnier,10
Michel Barnier,10
Sunday Times,10
unia,10
rosja,10
Jean-Claude Juncker,9
Rosja,9
Kanada,9
amerykanie,9
unia europejska,9
Europejczycy,9
Szkocja,9
Irlandia Płn.,8
warszawa,8
Morawiecki,8
Asia,8
Włochy,8
Berlin,8
Benedykt XVI,8
stany zjednoczone,8
Komisja,8
Reuters,8
TLP,7
europa,7
waszyngton,7
TVN,7
twitter,7
obama,7
Światowa Organizacja Handlu,7
Partia Pracy,7
WTO,7
republikanie,7
Facebook,7
Juncker,7
AFP,6
Discovery,6
barack obama,6
Paryż,6
May,6
pap,6
MSZ,6
Amsterdam,6
Jezus Chrystus,6
pis,6
jean-claude juncker,6
Cambridge Analytica,6
Davis,6
Mateusz Morawiecki,6
Dover,6
W. Brytania,6
Angela Merkel,6
Boris Johnson,6
TVN24,5
Financial Times,5
Wlk. Brytania,5
meksyk,5
Anglia,5
Bliski Wschód,5
PE,5
torysi,5
Europa Środkowa,5
Afryka,5
Kornwalia,5
DUP,5
Siergiej Skripal,5
Trybunał Sprawiedliwości Unii Europejskiej,5
rada,5
biay dom,5
Sąd,5
Donald Trump,5
Luksemburg,5
Pendżab,5
Macron,5
brexit,5
francja,5
rada europejska,4
Partia Niepodległości Zjednoczonego Królestwa,4
kanada,4
trybunał konstytucyjny,4
Jacek Czaputowicz,4
Boże Narodzenie,4
cnn,4
Portugalia,4
