clID,Count
GPE-Great-Britain,268
ORG-European-Union,257
EVT-Brexit,243
1,168
PER-Asia-Bibi,104
GPE-Poland,86
GPE-London,73
GPE-Pakistan,59
LOC-Europe,58
GPE-Brussles,50
ORG-European-Commission,49
2,43
GPE-Ireland,39
PER-Mahomet,35
PER-Theresa-May,33
ORG-European-Parlament,33
6,31
ORG-Supreme-Court-of-Pakistan,31
20002,30
GPE-USA,28
ORG-European-Council,27
PER-Donald-Tusk,25
LOC-Irlends-countries,25
PER-David-Davis,24
GPE-Germany,23
PRO-The-Sunday-Times,22
PER-Michel-Barnier,21
14,19
GPE-France,17
PRO-The-Guardian,17
ORG-European-Court-of-Justice,17
PER-Jean-Claude-Juncker,16
PER-Pope-Francis,15
3,14
PER-Mateusz-Morawiecki,14
ORG-WTO-World-Trade-Organization,14
ORG-House-of-Commons,14
ORG-Tehreek-e-Labbaik-Pakistan,14
28,14
GPE-Warsaw,13
ORG-PAP-Polish-Press-Agency,13
PER-Jesus-Christ,13
GPE-Holland,13
16,13
PER-Saif-Ul-Malook,12
ORG-Conservative-and-Unionist-Party-UK,12
11,12
118,11
GPE-Canada,11
PRO-Twitter,11
GPE-Scotland,11
ORG-UK-Independence-Party,10
ORG-DUP-Democratic-Unionist-Party,10
17,10
GPE-Italy,10
78,10
GPE-Northern-Ireland,9
PER-Emmanuel-Macron,9
90,9
GPE-Russia,9
ORG-Reuters,9
PER-Donald-Trump,8
20019,8
ORG-Labour-Party-UK,8
PER-Benedict-XVI,8
PER-Angela-Merkel,8
20008,8
GPE-Berlin,8
42,8
ORG-SNI-Scripps-Networks-Interactive,8
ORG-Ministry-of-Foreign-Affairs-Poland,8
ORG-Cambridge-Analytica,8
47,7
ORG-AP-The-Associated-Press,7
PER-Boris-Johnson,7
PER-Siergiej-Skripal,7
48,7
111,7
ORG-Discovery-Inc,7
146,7
PER-Mian-Saqib-Nisar,7
20006,7
GPE-Paris,6
PER-Nigel-Farage,6
GPE-India,6
PER-George-Soros,6
PRO-Financial-Times,6
ORG-Ministry-of-Brexity,6
ORG-Unilever,6
GPE-Dover,6
GPE-Luxembourg,6
ORG-AFP-Agence-France-Press,6
GPE-Amsterdam,6
GPE-Frankfurt-am-Main,5
PER-Jacek-Czaputowicz,5
20204,5
20206,5
LOC-Near-East,5
ORG-Tories,5
20151,5
21100,5
EVT-Christmas,5
PER-Jeremy-Corbyn,5
GPE-Spain,5
PER-Ashiq-Masih,5
LOC-Central-Europe,5
20050,5
LOC-Colloseum-Rome,5
PRO-TVN,5
20043,5
GPE-England,5
PRO-Facebook,5
GPE-Cornwall,5
LOC-Africa,5
GPE-Punjab,5
GPE-Wales,5
GPE-Portugal,5
4,5
63,5
20303,5
116,5
55,5
PRO-TVN24,5
21003,4
20038,4
20514,4
GPE-Norway,4
20529,4
20600,4
239,4
GPE-Karachi,4
GPE-Ulster,4
GPE-Slovakia,4
PER-Katarzyna-Kieli,4
PER-Konrad-Szymański,4
73,4
21103,4
GPE-Australia,4
190,4
112,4
20502,4
5,4
20625,4
64,4
PER-Gerard-Batten,4
ORG-House-of-Lords,4
GPE-Hungary,4
67,4
GPE-Lahore,4
34,3
21101,3
GPE-Rome,3
20301,3
20302,3
PER-Tony-Blair,3
GPE-Austria,3
GPE-Kerala,3
114,3
PER-David-Cameron,3
PRO-Treaty-of-Lisbon,3
21002,3
20111,3
21000,3
ORG-EEA-European-Economic-Area,3
22001,3
PRO-The-Times,3
PRO-Good-Friday-Agreement,3
20014,3
20015,3
68,3
GPE-Rawalpindi,3
PRO-The-Quran,3
20553,3
20026,3
GPE-China,3
ORG-PiS-Law-and-Justice,3
20597,3
20030,3
PER-Saint-Thomas,3
GPE-Iran,3
PER-Mohammad-Amjad,3
PER-Alexander-Nix,3
GPE-Lisbon,3
PER-Khadim-Hussain-Rizvi,3
PER-Jakub-Krupa,3
ORG-Visegrád-Group,3
ORG-Leave-EU,3
PER-God,3
20104,3
PRO-Fakty,3
PRO-TUE-Treaty-on-European-Union,3
20400,3
ORG-British-Committee-on-European-Control,3
PER-Viktor-Orban,3
PRO-Gazeta-Wyborcza,3
188,3
20603,3
GPE-Islamabad,3
126,3
PER-Nigel-Lawson,3
PRO-The-Independent,3
9,3
GPE-Dublin,3
205,3
PER-Marek-Magierowski,3
20220,3
20221,3
PER-Frans-Timmermans,3
GPE-Rotterdam,3
PER-Nigel-Oakes,3
10034,3
183,3
131,3
ORG-BDI-Bundesverband-der-Deutschen-Industrie,3
ORG-Bloomberg-LP,3
20554,3
ORG-Ryanair,3
20257,3
PRO-CAP-Common-Agricultural-Policy,3
GPE-Greece,3
10024,3
PER-Joachim-Lang,3
LOC-English-Channel,3
241,3
21401,3
ORG-TPP-Trans-Pacific-Partnership,3
ORG-University-of-Cambridge,3
GPE-Mexico,3
PER-Rebbecca Bitrus,3
20802,3
117,3
20803,3
163,3
387,3
PER-Jan-Buczek,2
EVT-Polish-Economic-Forum,2
20531,2
PER-Joseph-Nadeem,2
GPE-Bulgaria,2
PER-Bernard-OConnor,2
20501,2
ORG-German-Government,2
GPE-New-York,2
PER-Tomasz-Bielecki,2
ORG-Transport-for-London,2
GPE-Gibraltar,2
29,2
58,2
GPE-Rajasthan,2
ORG-Scottish-Liberal-Democrats,2
PER-Justin-Trudeau,2
20507,2
PER-Christopher-Wylie,2
PRO-White-paper-Poland,2
GPE-Romania,2
65,2
20530,2
ORG-BZ-WBK,2
PRO-Polish-Radio,2
20511,2
GPE-Sweden,2
PER-Graeme-Pitkethly,2
GPE-Goerlitz,2
GPE-Dresden,2
GPE-Holand,2
ORG-CTPA-Cosmetic-Toiletry-and-Perfumery-Association,2
PER-Dariusz-Lisiak,2
EVT-Eeaster,2
20,2
43,2
20524,2
PER-Andrzej-Olechowski,2
ORG-Jaguar-Land-Rover,2
PER-Adam-Dąbrowski,2
ORG-AFCO-The-Committee-on-Constitutional-Affairs,2
20503,2
PRO-wScieci-Historii,2
PRO-The-Telegraph,2
PER-Alex-Barker,2
21001,2
EVT-Saint-Patricks-Day,2
GPE-Lithuania,2
46,2
PER-Saint-Patrick,2
ORG-NATO,2
PRO-Polskie-Radio-24,2
PER-Marcin-Makowski,2
145,2
144,2
21400,2
396,2
20602,2
ORG-Rolls-Royce-ltd,2
20801,2
20601,2
20810,2
PER-Nicola-Sturgeon,2
20833,2
20836,2
LOC-Pacific-Ocean,2
398,2
LOC-Normandy,2
LOC-Oder,2
EVT-Polexit,2
20903,2
ORG-Facebook,2
20595,2
LOC-South-China-Sea,2
PER-Carwyn-Jones,2
PRO-Bloomberg,2
GPE-Japan,2
ORG-AfG-Alternative-for-Germany,2
ORG-EPA-European-Pressphoto-Agency,2
ORG-BBC-Ltd,2
20704,2
LOC-Presidential-Palace-Warsaw,2
PER-Sarah-Wollaston,2
PER-Tim-Stanley,2
ORG-BASA-British-Atomic-Scientists-Associatio,2
20642,2
20607,2
185,2
206,2
214,2
20705,2
GPE-Salisbury,2
20710,2
20711,2
20712,2
125,2
20724,2
PER-Alessandro-Monteduro,2
20730,2
251,2
PER-Jacek-Karnowski,2
GPE-Afghanistan,2
GPE-Mumbai,2
21004,2
ORG-AECR-Alliance-of-European-Conservatives-and-Reformists,2
97,2
PER-Che-Guevara,2
PER-Wolter,2
PER-Jan-Olbrycht,2
93,2
20572,2
21300,2
21302,2
PRO-The-Daily-Telegraph,2
ORG-Brexit-Steering-Group,2
21005,2
80,2
PER-Alexander-Kogan,2
20555,2
ORG-ACN-Aid-to-the-Church-in-Need,2
ORG-GRU-(Russian-GU),2
ORG-Netflix,2
PER-Wilson-Chaudhry,2
20552,2
GPE-Belfast,2
99,2
104,2
21207,2
21206,2
PER-Tony-Barber,2
20596,2
21034,2
PER-Fawad-Chaudhry,2
ORG-ABI-Association-of-British-Insurers,2
PER-Antonio-Tajani,2
ORG-OECD-Organisation-for-Economic-Co-operation-and-Development,2
107,2
21102,2
PER-William-Shakespeare,2
PER-Konstancja-Markiewicz,2
ORG-Jamiat-Ulema-e-Islam,2
