clID,Count
PER-Boris-Johnson,249
GPE-Great-Britain,243
ORG-European-Union,219
PER-Theresa-May,218
PER-Asia-Bibi,180
PER-David-Davis,176
EVT-Brexit,150
1,127
GPE-Pakistan,112
ORG-Foreign-Office,103
ORG-Supreme-Court-of-Pakistan,90
PER-Dominic-Raab,77
GPE-London,53
GPE-Brussles,47
ORG-the-UK-Government,45
PER-Prophet-Muhammad,43
ORG-Tehreek-e-Labbaik-Pakistan,37
ORG-Cabinet-of-the-United-Kingdom,35
6,33
PER-Jeremy-Hunt,32
2,29
ORG-Conservative-and-Unionist-Party-UK,27
GPE-Islamabad,26
GPE-Punjab,24
LOC-Downing-Street,22
GPE-Lahore,21
PER-Maria-Zaharova,20
ORG-BBC-Ltd,19
ORG-REGNUM-News-Agency,19
PER-Imran-Khan,19
EVT-Brexit-Referendum,18
PER-Donald-Tusk,17
10014,17
GPE-USA,16
PER-Saif-Ul-Malook,16
PRO-Brexit-withdrawal-agreement,15
ORG-European-Council,15
GPE-France,13
GPE-Russia,13
GPE-Karachi,13
ORG-Ministry-of-Foreign-Affairs-Russia,13
ORG-European-Union-Customs-Union,13
LOC-Europe,13
PER-Salmaan-Taseer,13
10027,12
PER-Siergiej-Skripal,12
PER-Yulia-Skripal,12
ORG-Reuters,11
63,11
PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru,11
GPE-Northern-Ireland,11
PRO-Twitter,11
PRO-Facebook,11
PRO-The-Guardian,10
ORG-AP-The-Associated-Press,10
PRO-The-Quran,10
ORG-European-Commission,10
42,10
16,9
PER-Steve-Baker,9
PER-Khadim-Hussain-Rizvi,9
GPE-Ireland,9
3,9
PRO-Novichok,9
10002,8
28,8
ORG-RIA-Novosti,8
EVT-FIFA-World-Cup,8
ORG-British-Parlament,8
PER-Donald-Trump,8
150,8
PER-Queen-Elizabeth-II,8
111,8
10135,8
PER-Jim-Mellon,7
PER-Ashiq-Masih,7
GPE-England,7
LOC-Moscow,7
PER-Margaritis-Schinas,7
78,7
GPE-Canada,7
176,6
GPE-Peshawar,6
ORG-TASS,6
239,6
10091,6
GPE-Rawalpindi,6
183,6
10001,6
ORG-Bloomberg-LP,6
PER-Mian-Saqib-Nisar,6
ORG-Labour-Party-UK,6
GPE-Spain,6
PER-Muhammad-Afzal-Qadri,5
GPE-Salisbury,5
10099,5
10015,5
10021,5
9,5
LOC-Moscow-Kremlin,5
10063,5
ORG-BBC-News-Russian,5
106,5
231,5
PER-Mumtaz-Qadri,5
ORG-House-of-Commons,5
PER-Jesus-Christ,5
10011,5
PER-David-Cameron,5
ORG-Ministry-of-Brexity,5
90,5
10059,5
29,5
PER-John-Bolton,5
ORG-European-Parlament,5
ORG-WTO-World-Trade-Organization,5
PRO-Sky-News-TV,5
10040,5
PRO-The-Times,5
10070,5
LOC-Chequers-Court,5
10074,5
10024,4
GPE-Ittanwali,4
118,4
89,4
PER-Konstantin-Kosachev,4
10075,4
LOC-Amesbury,4
ORG-AFP-Agence-France-Press,4
ORG-Alrosa,4
10041,4
10043,4
47,4
ORG-Ministry-of-Housing-Communities-and-Local,4
10051,4
10052,4
PER-Mamnoon-Hussain,4
ORG-European-Court-of-Justice,4
17,4
10058,4
11,4
10055,4
10086,3
10009,3
112,3
117,3
119,3
324,3
GPE-Kiev,3
PER-Taimoor-Raza,3
10080,3
ORG-Interfax,3
ORG-Jamaat-ud-Dawa,3
10004,3
241,3
10093,3
PER-Aleksey-Pushkov,3
ORG-Dawn-News,3
PRO-ONLINE-UA,3
10102,3
ORG-Ministry-of-Foreign-Affairs-Pakistan,3
PER-Benedict-XVI,3
10162,3
PER-Adolf-Hitler,3
PRO-Deutsche-Welle,3
PER-Michel-Barnier,3
10090,3
5,3
35,3
30,3
ORG-Samaa-TV,3
20,3
PER-Vladimir-Putin,3
46,3
PER-Michael-Gove,3
GPE-Italy,3
