Base,Count
trump,57
evropska komisija,54
donald trump,39
slovenija,17
eu,17
zda,15
evropska unija,14
komisija,13
evropski parlament,12
donald,11
clintonova,10
amerika,9
hillary clinton,9
facebook,7
ljubljana,7
bruselj,6
barack obama,6
američani,6
evropa,6
sta,6
italija,5
hrvaška,5
svet eu,5
angela merkel,5
nemčija,5
avstrija,5
grčija,5
time,5
francija,4
pakt integritete,4
adolf hitler,4
republika slovenija,4
unija,4
kitajska,4
rusija,4
bela hiša,4
evropski svet,4
nbc,4
ministrstvo za zunanje zadeve,4
tajvan,4
new york,3
španija,3
hitler,3
forbes,3
putin,3
katedre skupnega evropskega prostora,3
sodišče,3
hillary,3
madžarska,3
združene države amerike,3
mehika,3
dpa,3
twitter,3
elizabeta ii.,3
švedska,3
dnevnik,3
european commission,3
sirija,3
bill clinton,3
nelson mandela,3
audi,2
totkomlos,2
irska,2
new jersey,2
assad,2
john kasich,2
volkswagen,2
era chairs,2
juncker,2
ryan,2
afp,2
duterte,2
eurobarometer,2
monica lewinsky,2
kraševci,2
melania,2
mike pence,2
rolls royce,2
jean-claude juncker,2
nancy gibbs,2
new yorka,2
evropska katedra,2
večer,2
nica,2
sodišče evropske unije,2
portugalska,2
washington post,2
isis,2
berec,2
peking,2
sodišče eu,2
recep tayyip erdogan,2
bbc,2
bill,2
kolorado,2
ministrstvo za infrastrukturo,2
toronto,2
whatsapp,2
paul ryan,2
vladimir putin,2
mehičani,2
razdeljene države amerike,2
los angeles,2
pensilvanija,2
nebotičnik,2
serranova,2
beyonce,2
"ministrstvo za izobraževanje, znanost in šport",2
ohio,2
apple,2
google,2
norveška,2
kitajci,2
slovenia,1
evropski instrument sosedstva in partnerstva,1
kamëz,1
instrument za predpristopno pomoč,1
rolls royce phantom,1
wall street journal,1
frančišek,1
ekoper,1
jp morgan chase,1
eurasylum,1
lokalno.si,1
violeta bulc,1
severna dakota,1
pakti,1
reuters,1
ti slovenia,1
fredrik skavlan,1
spbr,1
pariz,1
nizozemska,1
monte dei paschi di siena,1
"generalni direktorat za zaposljivost, socialne zadeve in vključevanje",1
tehnozvezdje,1
bratislavi,1
zakonca clinton,1
steve house,1
springsteen,1
vodnik implementacije paktov integritete,1
klemen,1
gibbsova,1
transparency international,1
obama,1
primorske novice,1
nigel farage,1
crispr,1
honda nsx,1
hitlerji,1
savdska arabija,1
ministrstvo za zunanje zadeve republike slovenije,1
fox news,1
zoran stančič,1
poljska,1
mmc rtv slovenija,1
wjla,1
zdravniška zbornica slovenije,1
people magazine,1
islamska država,1
jeb bush,1
ministrstvo za zdravje,1
joseph goebbels,1
slovenci,1
stegne,1
tajvanka,1
eok,1
razvojni center murska sobota,1
pomurec.com,1
evropski razvojni sklad,1
evropski azilni podporni urad,1
surviving at the top,1
xhelal mziu,1
pam pollard,1
zahodna evropa,1
bruce springsteen,1
etis for sustainable management at destination level,1
poslovnik vlade rs,1
računalniške novice,1
evropska ljudska stranka,1
arizona,1
svet,1
wme/img,1
donald trumph,1
ivan bricelj,1
rim,1
mednarodni olimpijski komite,1
deutsche bank,1
latvija,1
rolls royce silver cloud,1
garcetti,1
queens,1
velika britanija,1
evropsko sodišče,1
top gear,1
"delovni program ""zmogljivosti""",1
house,1
evropski instrument za demokracijo in človekove pravice,1
skavlan,1
nova mehika,1
