clID,Count
1,179
6,36
2,31
295,23
3,22
14,13
239,9
40061,8
20608,8
190,8
40145,8
16,7
17,7
28,7
9,6
40047,6
40074,6
40065,6
68,6
10032,5
40029,5
101,5
126,5
63,5
293,5
40146,5
4,5
183,5
11,5
135,5
131,5
40081,5
41,5
111,4
97,4
40022,4
90,4
40072,4
40148,4
20204,4
40066,4
241,4
40171,4
42,4
78,4
48,4
132,3
163,3
294,3
55,3
40011,3
40018,3
144,3
121,3
40019,3
116,3
40161,3
40097,3
40104,3
40060,3
40086,3
40128,3
40088,3
40059,3
40116,3
40112,3
120,3
40067,3
188,3
222,3
35,3
10062,3
21301,3
40175,2
40091,2
40042,2
40041,2
15,2
40026,2
40035,2
40093,2
21302,2
40144,2
40143,2
40044,2
20513,2
40090,2
40089,2
40149,2
40087,2
40151,2
40152,2
20215,2
40129,2
40105,2
20500,2
40085,2
40109,2
40110,2
40111,2
18,2
80,2
40115,2
40136,2
119,2
40118,2
40119,2
40101,2
40121,2
40100,2
40123,2
40124,2
40125,2
20104,2
40045,2
10055,2
40154,2
10056,2
62,2
30237,2
40168,2
40135,2
40007,2
70,2
10113,2
65,2
40071,2
397,2
40078,2
40126,2
249,2
173,2
58,2
20833,2
40001,2
133,2
123,2
40077,2
40076,2
40017,2
10153,2
40084,2
40158,2
40159,2
40083,2
40162,2
40037,2
22002,2
125,2
40181,2
40106,2
40080,2
40032,2
40004,2
240,2
40179,2
40064,1
40054,1
40058,1
13,1
40062,1
40063,1
5,1
7,1
20625,1
40051,1
89,1
25,1
40021,1
26,1
27,1
40016,1
40014,1
40012,1
40009,1
40008,1
29,1
40187,1
31,1
33,1
50,1
41000,1
40023,1
91,1
40049,1
40028,1
40048,1
19,1
40046,1
107,1
47,1
40039,1
21,1
40036,1
40033,1
96,1
40031,1
22,1
40030,1
23,1
40134,1
40020,1
108,1
40070,1
40073,1
20903,1
185,1
30101,1
214,1
40133,1
181,1
353,1
20,1
341,1
177,1
334,1
40040,1
300,1
40056,1
86,1
40176,1
40199,1
20741,1
40052,1
40191,1
253,1
30125,1
21305,1
226,1
21300,1
10168,1
40055,1
182,1
10142,1
21404,1
10120,1
10058,1
179,1
10041,1
20260,1
338,1
10009,1
20612,1
40027,1
40082,1
158,1
40099,1
145,1
20011,1
21034,1
251,1
40186,1
40185,1
40107,1
40131,1
40130,1
40127,1
40122,1
81,1
40117,1
178,1
40113,1
40108,1
40103,1
197,1
40102,1
162,1
40096,1
40094,1
40092,1
149,1
146,1
40079,1
40075,1
196,1
198,1
40184,1
40156,1
40183,1
40182,1
40180,1
235,1
40170,1
40169,1
232,1
40160,1
40157,1
24,1
199,1
40153,1
40150,1
40147,1
40142,1
40140,1
40139,1
202,1
40137,1
200,1
40120,1
