model_name,fine_tuned,train_bundle,epochs,test_dataset,precision_score,recall_score,f1_score
cro-slo-eng-bert,True,bsnlp-2021,5,bsnlp-2021,0.891170431211499,0.8611111111111112,0.8758829465186679
cro-slo-eng-bert,False,bsnlp-2021,5,bsnlp-2021,0.8975409836065574,0.8690476190476191,0.8830645161290324
bert-base-multilingual-cased,True,bsnlp-2021,5,bsnlp-2021,0.8838475499092558,0.8411053540587219,0.8619469026548672
bert-base-multilingual-cased,False,bsnlp-2021,5,bsnlp-2021,0.9059040590405905,0.8480138169257341,0.8760035682426406
bert-base-multilingual-uncased,True,bsnlp-2021,5,bsnlp-2021,0.8709677419354839,0.784503631961259,0.8254777070063695
bert-base-multilingual-uncased,False,bsnlp-2021,5,bsnlp-2021,0.8793565683646113,0.7941888619854721,0.8346055979643765
sloberta-1.0,True,bsnlp-2021,5,bsnlp-2021,0.8972868217054264,0.8785578747628083,0.887823585810163
sloberta-1.0,False,bsnlp-2021,5,bsnlp-2021,0.9038076152304609,0.855787476280835,0.8791423001949318
sloberta-2.0,True,bsnlp-2021,5,bsnlp-2021,0.8686868686868687,0.8159392789373814,0.8414872798434442
sloberta-2.0,False,bsnlp-2021,5,bsnlp-2021,0.8686868686868687,0.8159392789373814,0.8414872798434442
